query,patient_id,tier,n_relevant,rr_bm25_only,rr_dense_only,rr_hybrid_no_rerank,rr_hybrid_no_router,rr_full_system
متى موعدي القادم؟,151,1,2,1.0,0.1429,0.0,0.2,0.2
ما سبب زيارتي الأخيرة؟,152,1,4,1.0,0.0,0.25,0.125,0.125
ما حالة موعدي الحالي؟,153,1,4,0.0,1.0,0.3333,1.0,1.0
ما الأعراض المسجلة في موعدي؟,154,1,17,1.0,0.1429,1.0,1.0,1.0
هل موعدي الأخير كان أول زيارة؟,155,1,1,0.0,0.1111,0.0,0.0,0.0
ما ملاحظات الموعد؟,156,1,2,1.0,0.0,0.2,0.0,0.0
متى كان آخر موعد لي؟,157,1,2,1.0,0.0,0.3333,0.0,0.0
كم عدد مواعيدي المكتملة؟,158,2,5,0.0,1.0,0.1111,0.3333,0.3333
هل لدي مواعيد معلقة؟,159,2,10,0.1,1.0,0.5,0.5,0.5
هل لدي مواعيد ملغاة؟,160,2,3,0.0,0.125,0.0,1.0,1.0
ما أكثر سبب متكرر لزياراتي؟,161,2,6,0.1111,0.0,1.0,0.0,0.0
بناءً على مواعيدي السابقة، متى يجب أن أحجز المتابعة القادمة؟,162,3,2,0.0,0.1111,0.0,0.1,0.1
بناءً على أعراضي في المواعيد، هل حالتي تتطور؟,163,3,19,1.0,1.0,0.5,1.0,1.0
ما النمط الزمني لزياراتي للعيادة؟,164,3,27,1.0,1.0,0.5,1.0,1.0
ما الأدوية الموصوفة لي؟,151,1,5,0.25,1.0,0.3333,1.0,1.0
ما جرعة دوائي؟,152,1,2,0.0,1.0,0.125,1.0,1.0
كم مرة آخذ الدواء في اليوم؟,153,1,4,0.0,1.0,0.0,1.0,1.0
ما مدة تناول الدواء؟,154,1,6,0.1667,1.0,0.3333,1.0,1.0
ما تعليمات تناول الدواء؟,155,1,4,0.0,1.0,0.0,1.0,1.0
ما اسم الدواء الموصوف؟,156,1,3,0.0,1.0,0.2,1.0,1.0
متى صُرفت وصفتي الأخيرة؟,157,1,5,0.3333,1.0,0.1667,1.0,1.0
هل تغيرت أدويتي مؤخراً؟,158,2,2,0.0,0.5,0.125,0.5,0.5
ما الأدوية التي أتناولها بانتظام؟,159,2,4,0.5,1.0,0.5,0.5,0.5
هل هناك دواء يؤخذ قبل النوم؟,160,2,5,0.0,1.0,0.125,1.0,1.0
كم عدد الأدوية في وصفتي؟,161,2,2,0.0,1.0,0.0,1.0,1.0
بناءً على أدويتي الحالية، هل هناك تعارض محتمل؟,162,3,3,0.0,0.2,0.0,1.0,1.0
هل يجب تعديل جرعة دوائي بناءً على حالتي؟,163,3,5,1.0,1.0,0.5,1.0,1.0
ما الغرض العلاجي من الأدوية الموصوفة؟,164,3,4,0.0,1.0,0.0,1.0,1.0
ما تشخيص حالتي؟,151,1,8,1.0,0.1667,1.0,0.3333,0.3333
ما المرض المسجل في ملفي؟,152,1,2,0.3333,0.1,0.2,0.5,0.5
ما الشكوى الرئيسية لدي؟,153,1,8,1.0,0.25,1.0,0.3333,0.3333
ما ملخص التشخيص؟,154,1,14,1.0,1.0,1.0,1.0,1.0
هل لدي تشخيص مزمن؟,155,1,6,1.0,1.0,0.3333,1.0,1.0
ما الحالة المرضية الأساسية؟,156,1,5,0.1429,0.2,1.0,1.0,1.0
هل تغير تشخيصي مع الوقت؟,157,2,7,0.0,0.0,1.0,0.1,0.1
ما التشخيصات المتكررة في سجلي؟,158,2,3,0.2,0.25,1.0,0.3333,0.3333
هل هناك أكثر من تشخيص؟,159,2,1,0.1429,0.3333,1.0,1.0,1.0
بناءً على تشخيصي، ما الخطة العلاجية المناسبة؟,160,3,9,1.0,1.0,0.3333,0.25,0.25
ما المضاعفات المحتملة لتشخيصي؟,161,3,2,0.0,0.0,0.0,0.0,0.0
ما ملاحظات الطبيب في آخر زيارة؟,151,1,2,1.0,0.0,0.3333,0.2,0.2
ما خطة العلاج الموصوفة؟,152,1,2,1.0,0.1429,1.0,1.0,1.0
متى موعد المتابعة؟,153,1,4,0.3333,1.0,0.3333,1.0,1.0
ما نوع السجل الطبي؟,154,1,8,0.0,0.0,1.0,0.0,0.0
ما تاريخ آخر زيارة طبية؟,155,1,4,1.0,0.0,0.25,0.5,0.5
ما توصيات الطبيب؟,156,1,4,1.0,1.0,0.5,0.3333,0.3333
ما ملخص زياراتي الطبية؟,157,2,25,1.0,1.0,0.3333,1.0,1.0
كيف تطورت حالتي عبر الزيارات؟,158,2,9,1.0,1.0,0.2,1.0,1.0
ما خطط العلاج عبر سجلي؟,159,2,6,1.0,0.5,0.5,1.0,1.0
