query,tier,category,n_relevant
متى موعدي القادم؟,1,appointments,2
ما سبب زيارتي الأخيرة؟,1,appointments,4
ما حالة موعدي الحالي؟,1,appointments,4
ما الأعراض المسجلة في موعدي؟,1,appointments,17
هل موعدي الأخير كان أول زيارة؟,1,appointments,1
ما ملاحظات الموعد؟,1,appointments,2
متى كان آخر موعد لي؟,1,appointments,2
كم عدد مواعيدي المكتملة؟,2,appointments,5
هل لدي مواعيد معلقة؟,2,appointments,10
هل لدي مواعيد ملغاة؟,2,appointments,3
ما أكثر سبب متكرر لزياراتي؟,2,appointments,6
بناءً على مواعيدي السابقة، متى يجب أن أحجز المتابعة القادمة؟,3,appointments,2
بناءً على أعراضي في المواعيد، هل حالتي تتطور؟,3,appointments,19
ما النمط الزمني لزياراتي للعيادة؟,3,appointments,27
ما الأدوية الموصوفة لي؟,1,meds,5
ما جرعة دوائي؟,1,meds,2
كم مرة آخذ الدواء في اليوم؟,1,meds,4
ما مدة تناول الدواء؟,1,meds,6
ما تعليمات تناول الدواء؟,1,meds,4
ما اسم الدواء الموصوف؟,1,meds,3
متى صُرفت وصفتي الأخيرة؟,1,meds,5
هل تغيرت أدويتي مؤخراً؟,2,meds,2
ما الأدوية التي أتناولها بانتظام؟,2,meds,4
هل هناك دواء يؤخذ قبل النوم؟,2,meds,5
كم عدد الأدوية في وصفتي؟,2,meds,2
بناءً على أدويتي الحالية، هل هناك تعارض محتمل؟,3,meds,3
هل يجب تعديل جرعة دوائي بناءً على حالتي؟,3,meds,5
ما الغرض العلاجي من الأدوية الموصوفة؟,3,meds,4
ما تشخيص حالتي؟,1,diagnosis,8
ما المرض المسجل في ملفي؟,1,diagnosis,2
ما الشكوى الرئيسية لدي؟,1,diagnosis,8
ما ملخص التشخيص؟,1,diagnosis,14
هل لدي تشخيص مزمن؟,1,diagnosis,6
ما الحالة المرضية الأساسية؟,1,diagnosis,5
هل تغير تشخيصي مع الوقت؟,2,diagnosis,7
ما التشخيصات المتكررة في سجلي؟,2,diagnosis,3
هل هناك أكثر من تشخيص؟,2,diagnosis,1
بناءً على تشخيصي، ما الخطة العلاجية المناسبة؟,3,diagnosis,9
ما المضاعفات المحتملة لتشخيصي؟,3,diagnosis,2
ما ملاحظات الطبيب في آخر زيارة؟,1,records,2
ما خطة العلاج الموصوفة؟,1,records,2
متى موعد المتابعة؟,1,records,4
ما نوع السجل الطبي؟,1,records,8
ما تاريخ آخر زيارة طبية؟,1,records,4
ما توصيات الطبيب؟,1,records,4
ما ملخص زياراتي الطبية؟,2,records,25
كيف تطورت حالتي عبر الزيارات؟,2,records,9
ما خطط العلاج عبر سجلي؟,2,records,6
بناءً على سجلي الطبي الكامل، ما التوصيات؟,3,records,31
ما المسار العلاجي بناءً على سجلاتي؟,3,records,14
ما مستوى السكر في دمي؟,1,vitals,7
ما قراءة ضغط الدم لدي؟,1,vitals,1
كم وزني في آخر فحص؟,1,vitals,1
ما درجة حرارتي؟,1,vitals,9
ما معدل ضربات القلب؟,1,vitals,4
ما معدل التنفس؟,1,vitals,3
ما نسبة الأكسجين في الدم؟,1,vitals,5
