slice,n,recall@1,recall@5,recall@10,precision@5,hit@10,ndcg@10,mrr
OVERALL,100,0.1315,0.4461,0.5961,0.522,0.9,0.6323,0.7025
T1,45,0.1551,0.5494,0.7082,0.4889,0.8889,0.646,0.6628
T2,25,0.161,0.4403,0.6032,0.456,0.92,0.6368,0.7164
T3,30,0.0713,0.296,0.4223,0.6267,0.9,0.6081,0.7506
appointments,14,0.0523,0.151,0.2944,0.2714,0.7143,0.3413,0.447
billing,8,0.0246,0.1503,0.3944,0.575,0.875,0.5616,0.575
diagnosis,11,0.1307,0.4267,0.5363,0.4182,0.9091,0.5103,0.5318
labs,13,0.1452,0.4824,0.7061,0.4154,0.9231,0.6197,0.6289
meds,14,0.2417,0.7381,0.9262,0.5714,1.0,0.863,0.9286
multi,16,0.0459,0.2049,0.3089,0.625,0.875,0.5633,0.75
records,11,0.1065,0.4528,0.5773,0.5636,0.9091,0.6114,0.7303
vitals,13,0.2772,0.9028,1.0,0.7385,1.0,0.9593,0.9487
