query,tier,retrieved,tokens,budget,within_budget
متى موعدي القادم؟,1,1,50,50,1
ما سبب زيارتي الأخيرة؟,1,1,50,50,1
ما حالة موعدي الحالي؟,1,1,50,50,1
ما الأعراض المسجلة في موعدي؟,1,1,50,50,1
هل موعدي الأخير كان أول زيارة؟,1,1,50,50,1
ما ملاحظات الموعد؟,1,1,50,50,1
متى كان آخر موعد لي؟,1,1,50,50,1
كم عدد مواعيدي المكتملة؟,2,1,191,200,1
هل لدي مواعيد معلقة؟,2,1,143,200,1
هل لدي مواعيد ملغاة؟,2,1,127,200,1
ما أكثر سبب متكرر لزياراتي؟,2,1,191,200,1
بناءً على مواعيدي السابقة، متى يجب أن أحجز المتابعة القادمة؟,3,1,2380,20000,1
بناءً على أعراضي في المواعيد، هل حالتي تتطور؟,3,1,2357,20000,1
ما النمط الزمني لزياراتي للعيادة؟,3,1,2265,20000,1
ما الأدوية الموصوفة لي؟,1,1,50,50,1
ما جرعة دوائي؟,1,1,50,50,1
كم مرة آخذ الدواء في اليوم؟,1,1,50,50,1
ما مدة تناول الدواء؟,1,1,50,50,1
ما تعليمات تناول الدواء؟,1,1,50,50,1
ما اسم الدواء الموصوف؟,1,1,50,50,1
متى صُرفت وصفتي الأخيرة؟,1,1,50,50,1
هل تغيرت أدويتي مؤخراً؟,2,1,157,200,1
ما الأدوية التي أتناولها بانتظام؟,2,1,200,200,1
هل هناك دواء يؤخذ قبل النوم؟,2,1,145,200,1
كم عدد الأدوية في وصفتي؟,2,1,144,200,1
بناءً على أدويتي الحالية، هل هناك تعارض محتمل؟,3,1,2380,20000,1
هل يجب تعديل جرعة دوائي بناءً على حالتي؟,3,1,2357,20000,1
ما الغرض العلاجي من الأدوية الموصوفة؟,3,1,2265,20000,1
ما تشخيص حالتي؟,1,1,50,50,1
ما المرض المسجل في ملفي؟,1,1,50,50,1
ما الشكوى الرئيسية لدي؟,1,1,50,50,1
ما ملخص التشخيص؟,1,1,50,50,1
هل لدي تشخيص مزمن؟,1,1,50,50,1
ما الحالة المرضية الأساسية؟,1,1,36,50,1
هل تغير تشخيصي مع الوقت؟,2,1,169,200,1
