query,language,category,difficulty,mode,recall@1,recall@5,recall@10,recall@20,recall@50,mrr,ndcg@10,hit_rate@10,hit_rate@20,any_match
ما هي أعراض مرض السكري؟,arabic,symptoms,easy,dense,0.1,0.4,0.8,1.0,1.0,1.0,0.8512360941594274,1.0,1.0,1.0
ما هي أعراض مرض السكري؟,arabic,symptoms,easy,bm25,0.1,0.2,0.3,0.3,0.4,1.0,0.42838543210841196,1.0,1.0,1.0
ما هي أعراض مرض السكري؟,arabic,symptoms,easy,hybrid,0.1,0.4,0.6,1.0,1.0,1.0,0.7034066032439746,1.0,1.0,1.0
ما هي أعراض مرض السكري؟,arabic,symptoms,easy,hybrid_rerank,0.1,0.4,0.8,1.0,1.0,1.0,0.8318477135310893,1.0,1.0,1.0
ما هو علاج ارتفاع ضغط الدم؟,arabic,treatment,medium,dense,0.1,0.5,0.8,0.9,1.0,1.0,0.8643145546088337,1.0,1.0,1.0
ما هو علاج ارتفاع ضغط الدم؟,arabic,treatment,medium,bm25,0.0,0.3,0.4,0.4,0.4,0.5,0.4124497136428909,1.0,1.0,1.0
ما هو علاج ارتفاع ضغط الدم؟,arabic,treatment,medium,hybrid,0.1,0.4,0.9,1.0,1.0,1.0,0.914856882358379,1.0,1.0,1.0
ما هو علاج ارتفاع ضغط الدم؟,arabic,treatment,medium,hybrid_rerank,0.1,0.4,0.5,0.8,1.0,1.0,0.642186726668901,1.0,1.0,1.0
ما أسباب فشل القلب؟,arabic,causes,medium,dense,0.1,0.4,0.8,0.9,1.0,1.0,0.8318477135310893,1.0,1.0,1.0
ما أسباب فشل القلب؟,arabic,causes,medium,bm25,0.0,0.1,0.3,0.3,0.4,0.3333333333333333,0.24703059344735182,1.0,1.0,1.0
ما أسباب فشل القلب؟,arabic,causes,medium,hybrid,0.1,0.5,0.9,1.0,1.0,1.0,0.9363792118010483,1.0,1.0,1.0
ما أسباب فشل القلب؟,arabic,causes,medium,hybrid_rerank,0.0,0.2,0.3,0.5,1.0,0.3333333333333333,0.26462022272743835,1.0,1.0,1.0
كيف يتم تشخيص السرطان؟,arabic,diagnosis,medium,dense,0.1,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
كيف يتم تشخيص السرطان؟,arabic,diagnosis,medium,bm25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
كيف يتم تشخيص السرطان؟,arabic,diagnosis,medium,hybrid,0.1,0.4,0.7,1.0,1.0,1.0,0.7849818707050383,1.0,1.0,1.0
كيف يتم تشخيص السرطان؟,arabic,diagnosis,medium,hybrid_rerank,0.1,0.3,0.6,0.9,1.0,1.0,0.6901935063354876,1.0,1.0,1.0
ما أعراض الربو؟,arabic,symptoms,easy,dense,0.0,0.0,0.2,0.2,1.0,0.16666666666666666,0.14465249243306436,1.0,1.0,1.0
ما أعراض الربو؟,arabic,symptoms,easy,bm25,0.0,0.1,0.2,0.2,0.2,0.3333333333333333,0.18340980524840012,1.0,1.0,1.0
ما أعراض الربو؟,arabic,symptoms,easy,hybrid,0.1,0.5,0.7,1.0,1.0,1.0,0.7909506325094737,1.0,1.0,1.0
ما أعراض الربو؟,arabic,symptoms,easy,hybrid_rerank,0.0,0.1,0.2,0.5,1.0,0.5,0.2051166673279436,1.0,1.0,1.0
كيف يمكن الوقاية من العدوى؟,arabic,prevention,easy,dense,0.1,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
كيف يمكن الوقاية من العدوى؟,arabic,prevention,easy,bm25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
كيف يمكن الوقاية من العدوى؟,arabic,prevention,easy,hybrid,0.1,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
كيف يمكن الوقاية من العدوى؟,arabic,prevention,easy,hybrid_rerank,0.0,0.1,0.5,0.9,1.0,0.5,0.4263100803427562,1.0,1.0,1.0
ما هي أعراض فقر الدم؟,arabic,symptoms,easy,dense,0.1,0.4,0.5,0.6,1.0,1.0,0.6203974344166848,1.0,1.0,1.0
ما هي أعراض فقر الدم؟,arabic,symptoms,easy,bm25,0.1,0.3,0.5,0.5,0.5,1.0,0.6207622843987103,1.0,1.0,1.0
ما هي أعراض فقر الدم؟,arabic,symptoms,easy,hybrid,0.1,0.5,0.7,0.9,1.0,1.0,0.7967610662472993,1.0,1.0,1.0
ما هي أعراض فقر الدم؟,arabic,symptoms,easy,hybrid_rerank,0.1,0.4,0.4,0.6,1.0,1.0,0.5637884576902256,1.0,1.0,1.0
ما علاج الصداع؟,arabic,treatment,easy,dense,0.1,0.5,0.5,0.6,1.0,1.0,0.6489315753318465,1.0,1.0,1.0
ما علاج الصداع؟,arabic,treatment,easy,bm25,0.1,0.1,0.2,0.2,0.3,1.0,0.2934556883974402,1.0,1.0,1.0
ما علاج الصداع؟,arabic,treatment,easy,hybrid,0.1,0.3,0.5,0.5,1.0,1.0,0.6020521034564038,1.0,1.0,1.0
ما علاج الصداع؟,arabic,treatment,easy,hybrid_rerank,0.0,0.0,0.3,0.5,1.0,0.16666666666666666,0.21408371436984167,1.0,1.0,1.0
ما أسباب أمراض الكلى؟,arabic,causes,medium,dense,0.1,0.1,0.3,0.3,1.0,1.0,0.3679212572135327,1.0,1.0,1.0
ما أسباب أمراض الكلى؟,arabic,causes,medium,bm25,0.1,0.3,0.3,0.4,0.6,1.0,0.4690000933206748,1.0,1.0,1.0
