query,expected_tier,predicted_tier,correct,reason,language
ما هو مستوى السكر في دمي؟,1,2,0,default_tier2,ar
ما هي نسبة الضغط في قراءاتي الأخيرة؟,1,2,0,semantic_request,ar
كم وزني في آخر فحص؟,1,2,0,semantic_request,ar
ما نتائج فحص LDL؟,1,2,0,default_tier2,ar
هل فحص HbA1c طبيعي؟,1,2,0,default_tier2,ar
ما آخر قراءة للضغط؟,1,2,0,semantic_request,ar
كم مستوى الكوليسترول؟,1,2,0,default_tier2,ar
ما نتائج فحص الغدة الدرقية؟,1,2,0,default_tier2,ar
هل فحص CBC طبيعي؟,1,2,0,default_tier2,ar
ما مستوى فيتامين د؟,1,2,0,default_tier2,ar
ما نسبة الهيموغلوبين؟,1,2,0,default_tier2,ar
كم عدد كريات الدم البيضاء؟,1,2,0,default_tier2,ar
ما نتائج فحص وظائف الكلى؟,1,2,0,default_tier2,ar
ما مستوى اليوريا؟,1,2,0,default_tier2,ar
ما نسبة الكرياتينين؟,1,2,0,default_tier2,ar
ما نتائج فحص الكبد؟,1,2,0,default_tier2,ar
ما إنزيمات الكبد؟,1,2,0,default_tier2,ar
ما مستوى الحديد؟,1,2,0,default_tier2,ar
هل فحص FERITIN طبيعي؟,1,2,0,default_tier2,ar
ما قيمة الفولات؟,1,2,0,default_tier2,ar
كم سكر الدم العشوائي؟,1,2,0,default_tier2,ar
ما سكر الدم الصيامي؟,1,2,0,default_tier2,ar
هل فحص الأنسولين طبيعي؟,1,2,0,default_tier2,ar
ما مستوى الثيروكسين؟,1,2,0,default_tier2,ar
كم TSH؟,1,2,0,default_tier2,mixed
ما free T4؟,1,2,0,default_tier2,mixed
ما النتائج الأولية؟,1,2,0,default_tier2,ar
ما آخر فحص كامل؟,1,2,0,semantic_request,ar
هل يوجد فقر دم؟,1,2,0,default_tier2,ar
ما نوع الدم؟,1,2,0,default_tier2,ar
ما نتيجة تحليل البول؟,1,3,0,complex_reasoning,ar
هل يوجد بيلة بروتينية؟,1,2,0,default_tier2,ar
ما كثافة البول؟,1,2,0,default_tier2,ar
كم حجم البول؟,1,2,0,default_tier2,ar
ما الرقم الهيدروجيني؟,1,2,0,default_tier2,ar
هل نتائج فحوصات الضغط طبيعية؟,2,2,1,default_tier2,ar
مقارنة النتائج الحالية بالسابقة؟,2,2,1,default_tier2,ar
هل هناك تحسن في نسبة السكر؟,2,2,1,default_tier2,ar
مستوى الكوليسترول ضمن المعدل الطبيعي؟,2,2,1,default_tier2,ar
هل الفيتامينات تتحسن؟,2,2,1,default_tier2,ar
هل قراءات الضغط مرتفعة؟,2,2,1,default_tier2,ar
هل نتائج السكر طبيعية؟,2,2,1,default_tier2,ar
هل يوجد تغير في الوزن؟,2,2,1,default_tier2,ar
كيف تغيرت النتائج منذ آخر فحص؟,2,2,1,semantic_request,ar
هل نتائج الغدة الدرقية حسنت؟,2,2,1,default_tier2,ar
هل HbA1c تحسن؟,2,2,1,default_tier2,ar
هل LDL انخفض؟,2,2,1,default_tier2,ar
هل HDL ارتفع؟,2,2,1,default_tier2,ar
مقارنة HDL بالنتائج السابقة؟,2,2,1,default_tier2,ar
هل هناك تغير في TSH؟,2,2,1,default_tier2,ar
هل free T4 طبيعي؟,2,2,1,default_tier2,ar
هل النتائج مستقرة؟,2,2,1,default_tier2,ar
هل هناك ترا��ع؟,2,2,1,default_tier2,ar
مقارنة نتائج CBC؟,2,2,1,default_tier2,ar
هل الهيموغلوبين تحسن؟,2,2,1,default_tier2,ar
هل الحديد زاد؟,2,2,1,default_tier2,ar
هل Feritin تحسن؟,2,2,1,default_tier2,mixed
مقارنة وظائف الكلى؟,2,2,1,default_tier2,ar
هل اليوريا تحسنت؟,2,2,1,default_tier2,ar
هل الكرياتينين مستقر؟,2,2,1,default_tier2,ar
