query,expected_tier,predicted_tier,correct,reason,language
متى موعدي القادم؟,1,1,1,exact_field_lookup,ar
ما سبب زيارتي الأخيرة؟,1,3,0,complex_reasoning,ar
ما حالة موعدي الحالي؟,1,2,0,default_tier2,ar
ما الأعراض المسجلة في موعدي؟,1,2,0,default_tier2,ar
هل موعدي الأخير كان أول زيارة؟,1,2,0,default_tier2,ar
ما ملاحظات الموعد؟,1,2,0,default_tier2,ar
متى كان آخر موعد لي؟,1,1,1,exact_field_lookup,ar
كم عدد مواعيدي المكتملة؟,2,2,1,semantic_request,ar
هل لدي مواعيد معلقة؟,2,2,1,default_tier2,ar
هل لدي مواعيد ملغاة؟,2,2,1,default_tier2,ar
ما أكثر سبب متكرر لزياراتي؟,2,2,1,default_tier2,ar
بناءً على مواعيدي السابقة، متى يجب أن أحجز المتابعة القادمة؟,3,3,1,ml_classifier(conf=0.57),ar
بناءً على أعراضي في المواعيد، هل حالتي تتطور؟,3,3,1,complex_reasoning,ar
ما النمط الزمني لزياراتي للعيادة؟,3,2,0,default_tier2,ar
ما الأدوية الموصوفة لي؟,1,2,0,default_tier2,ar
ما جرعة دوائي؟,1,2,0,default_tier2,ar
كم مرة آخذ الدواء في اليوم؟,1,2,0,default_tier2,ar
ما مدة تناول الدواء؟,1,3,0,ml_classifier(conf=0.56),ar
ما تعليمات تناول الدواء؟,1,3,0,ml_classifier(conf=0.69),ar
ما اسم الدواء الموصوف؟,1,2,0,default_tier2,ar
متى صُرفت وصفتي الأخيرة؟,1,2,0,default_tier2,ar
هل تغيرت أدويتي مؤخراً؟,2,2,1,semantic_request,ar
ما الأدوية التي أتناولها بانتظام؟,2,2,1,default_tier2,ar
هل هناك دواء يؤخذ قبل النوم؟,2,3,0,ml_classifier(conf=0.59),ar
كم عدد الأدوية في وصفتي؟,2,2,1,default_tier2,ar
بناءً على أدويتي الحالية، هل هناك تعارض محتمل؟,3,3,1,complex_reasoning,ar
هل يجب تعديل جرعة دوائي بناءً على حالتي؟,3,3,1,ml_classifier(conf=0.64),ar
ما الغرض العلاجي من الأدوية الموصوفة؟,3,2,0,default_tier2,ar
ما تشخيص حالتي؟,1,3,0,complex_reasoning,ar
ما المرض المسجل في ملفي؟,1,2,0,default_tier2,ar
ما الشكوى الرئيسية لدي؟,1,2,0,default_tier2,ar
ما ملخص التشخيص؟,1,3,0,complex_reasoning,ar
هل لدي تشخيص مزمن؟,1,3,0,complex_reasoning,ar
ما الحالة المرضية الأساسية؟,1,2,0,default_tier2,ar
هل تغير تشخيصي مع الوقت؟,2,2,1,ml_classifier(conf=0.55),ar
ما التشخيصات المتكررة في سجلي؟,2,3,0,complex_reasoning,ar
هل هناك أكثر من تشخيص؟,2,3,0,complex_reasoning,ar
بناءً على تشخيصي، ما الخطة العلاجية المناسبة؟,3,3,1,ml_classifier(conf=0.70),ar
ما المضاعفات المحتملة لتشخيصي؟,3,3,1,complex_reasoning,ar
ما ملاحظات الطبيب في آخر زيارة؟,1,2,0,default_tier2,ar
ما خطة العلاج الموصوفة؟,1,3,0,complex_reasoning,ar
متى موعد المتابعة؟,1,2,0,semantic_request,ar
ما نوع السجل الطبي؟,1,2,0,default_tier2,ar
ما تاريخ آخر زيارة طبية؟,1,2,0,default_tier2,ar
ما توصيات الطبيب؟,1,3,0,ml_classifier(conf=0.68),ar
ما ملخص زياراتي الطبية؟,2,3,0,complex_reasoning,ar
كيف تطورت حالتي عبر الزيارات؟,2,2,1,default_tier2,ar
ما خطط العلاج عبر سجلي؟,2,2,1,default_tier2,ar
بناءً على سجلي الطبي الكامل، ما التوصيات؟,3,3,1,ml_classifier(conf=0.63),ar
ما المسار العلاجي بناءً على سجلاتي؟,3,3,1,complex_reasoning,ar
ما مستوى السكر في دمي؟,1,1,1,ml_classifier(conf=0.56),ar
ما قراءة ضغط الدم لدي؟,1,1,1,exact_field_lookup,ar
كم وزني في آخر فحص؟,1,1,1,exact_field_lookup,ar
