query,patient_id,tier,category,n_relevant
متى موعدي القادم؟,151,1,appointments,2
ما سبب زيارتي الأخيرة؟,152,1,appointments,4
ما حالة موعدي الحالي؟,153,1,appointments,4
ما الأعراض المسجلة في موعدي؟,154,1,appointments,17
هل موعدي الأخير كان أول زيارة؟,155,1,appointments,1
ما ملاحظات الموعد؟,156,1,appointments,2
متى كان آخر موعد لي؟,157,1,appointments,2
كم عدد مواعيدي المكتملة؟,158,2,appointments,5
هل لدي مواعيد معلقة؟,159,2,appointments,10
هل لدي مواعيد ملغاة؟,160,2,appointments,3
ما أكثر سبب متكرر لزياراتي؟,161,2,appointments,6
بناءً على مواعيدي السابقة، متى يجب أن أحجز المتابعة القادمة؟,162,3,appointments,2
بناءً على أعراضي في المواعيد، هل حالتي تتطور؟,163,3,appointments,19
ما النمط الزمني لزياراتي للعيادة؟,164,3,appointments,27
ما الأدوية الموصوفة لي؟,151,1,meds,5
ما جرعة دوائي؟,152,1,meds,2
كم مرة آخذ الدواء في اليوم؟,153,1,meds,4
ما مدة تناول الدواء؟,154,1,meds,6
ما تعليمات تناول الدواء؟,155,1,meds,4
ما اسم الدواء الموصوف؟,156,1,meds,3
متى صُرفت وصفتي الأخيرة؟,157,1,meds,5
هل تغيرت أدويتي مؤخراً؟,158,2,meds,2
ما الأدوية التي أتناولها بانتظام؟,159,2,meds,4
هل هناك دواء يؤخذ قبل النوم؟,160,2,meds,5
كم عدد الأدوية في وصفتي؟,161,2,meds,2
بناءً على أدويتي الحالية، هل هناك تعارض محتمل؟,162,3,meds,3
هل يجب تعديل جرعة دوائي بناءً على حالتي؟,163,3,meds,5
ما الغرض العلاجي من الأدوية الموصوفة؟,164,3,meds,4
ما تشخيص حالتي؟,151,1,diagnosis,8
ما المرض المسجل في ملفي؟,152,1,diagnosis,2
ما الشكوى الرئيسية لدي؟,153,1,diagnosis,8
ما ملخص التشخيص؟,154,1,diagnosis,14
هل لدي تشخيص مزمن؟,155,1,diagnosis,6
ما الحالة المرضية الأساسية؟,156,1,diagnosis,5
هل تغير تشخيصي مع الوقت؟,157,2,diagnosis,7
ما التشخيصات المتكررة في سجلي؟,158,2,diagnosis,3
هل هناك أكثر من تشخيص؟,159,2,diagnosis,1
بناءً على تشخيصي، ما الخطة العلاجية المناسبة؟,160,3,diagnosis,9
ما المضاعفات المحتملة لتشخيصي؟,161,3,diagnosis,2
ما ملاحظات الطبيب في آخر زيارة؟,151,1,records,2
ما خطة العلاج الموصوفة؟,152,1,records,2
متى موعد المتابعة؟,153,1,records,4
ما نوع السجل الطبي؟,154,1,records,8
ما تاريخ آخر زيارة طبية؟,155,1,records,4
ما توصيات الطبيب؟,156,1,records,4
ما ملخص زياراتي الطبية؟,157,2,records,25
كيف تطورت حالتي عبر الزيارات؟,158,2,records,9
ما خطط العلاج عبر سجلي؟,159,2,records,6
بناءً على سجلي الطبي الكامل، ما التوصيات؟,160,3,records,31
ما المسار العلاجي بناءً على سجلاتي؟,161,3,records,14
ما مستوى السكر في دمي؟,151,1,vitals,7
ما قراءة ضغط الدم لدي؟,152,1,vitals,1
كم وزني في آخر فحص؟,153,1,vitals,1
ما درجة حرارتي؟,154,1,vitals,9
ما معدل ضربات القلب؟,155,1,vitals,4
ما معدل التنفس؟,156,1,vitals,3
ما نسبة الأكسجين في الدم؟,157,1,vitals,5
هل تحسنت قراءات الضغط؟,158,2,vitals,2
هل هناك تغير في وزني؟,159,2,vitals,3
هل مستوى السكر مستقر؟,160,2,vitals,6
ما اتجاه مؤشراتي الحيوية؟,161,2,vitals,5
بناءً على مؤشراتي الحيوية، هل حالتي مستقرة؟,162,3,vitals,6
ما دلالة قراءاتي الحيوية على صحتي؟,163,3,vitals,5
ما الفحوصات المخبرية المطلوبة لي؟,151,1,labs,5
ما حالة فحص فيتامين د؟,153,1,labs,3
ما تعليمات الفحص المخبري؟,154,1,labs,5
متى تم طلب الفحص؟,155,1,labs,2
ما اسم الفحص المطلوب؟,156,1,labs,2
ما رمز الفحص؟,157,1,labs,3
هل الفحص مكتمل أم ملغى؟,159,1,labs,8
هل اكتملت جميع فحوصاتي؟,160,2,labs,4
كم عدد الفحوصات المطلوبة؟,161,2,labs,3
ما الفحوصات الملغاة؟,162,2,labs,3
هل هناك فحوصات معلقة؟,163,2,labs,4
بناءً على الفحوصات المطلوبة، ماذا يجب أن أتابع؟,164,3,labs,16
ما أهمية الفحوصات المطلوبة لحالتي؟,165,3,labs,5
كم رسوم زيارتي؟,151,1,billing,15
ما تكلفة آخر موعد؟,152,1,billing,1
ما رسوم الكشف؟,153,1,billing,18
كم دفعت في آخر زيارة؟,154,1,billing,2
ما قيمة الفاتورة؟,155,1,billing,12
كم إجمالي رسوم زياراتي؟,156,2,billing,26
ما متوسط تكلفة زياراتي؟,157,2,billing,18
هل تختلف رسوم زياراتي؟,158,2,billing,21
بناءً على حالتي العامة، ما النصائح الصحية المناسبة؟,169,3,multi,46
ما العلاقة بين تشخيصي وأدويتي؟,190,3,multi,31
بناءً على سجلي، ما نمط الحياة الموصى به؟,154,3,multi,5
هل أعراضي تتوافق مع تشخيصي؟,177,3,multi,7
ما أفضل نظام غذائي بناءً على حالتي؟,195,3,multi,16
بناءً على مواعيدي وأدويتي، هل ألتزم بالعلاج؟,194,3,multi,12
ما التمارين المناسبة لحالتي؟,184,3,multi,2
كيف أحسّن حالتي الصحية العامة؟,174,3,multi,21
بناءً على بياناتي، ما عوامل الخطر لدي؟,151,3,multi,16
هل يجب تغيير خطة علاجي؟,176,3,multi,20
ما الإجراءات الوقائية المناسبة لحالتي؟,160,3,multi,7
بناءً على تاريخي الطبي، ما المتابعة المطلوبة؟,185,3,multi,21
ما تأثير حالتي على نمط حياتي اليومي؟,162,3,multi,14
هل هناك ترابط بين أعراضي المختلفة؟,181,3,multi,13
ما الأولويات العلاجية بناءً على حالتي؟,183,3,multi,27
بناءً على كل بياناتي، ما ملخص حالتي الصحية؟,164,3,multi,38
