query,tier,n_relevant
ما هو مستوى السكر في دمي؟,1,3
ما هي نسبة الضغط في قراءاتي الأخيرة؟,1,1
كم وزني في آخر فحص؟,1,1
ما نتائج فحص LDL؟,1,0
هل فحص HbA1c طبيعي؟,1,1
ما آخر قراءة للضغط؟,1,1
كم مستوى الكوليسترول؟,1,0
ما نتائج فحص الغدة الدرقية؟,1,0
هل فحص CBC طبيعي؟,1,0
ما مستوى فيتامين د؟,1,0
ما نسبة الهيموغلوبين؟,1,0
كم عدد كريات الدم البيضاء؟,1,0
ما نتائج فحص وظائف الكلى؟,1,0
ما مستوى اليوريا؟,1,0
ما نسبة الكرياتينين؟,1,0
ما نتائج فحص الكبد؟,1,0
ما إنزيمات الكبد؟,1,0
ما مستوى الحديد؟,1,0
هل فحص FERITIN طبيعي؟,1,0
ما قيمة الفولات؟,1,0
كم سكر الدم العشوائي؟,1,2
ما سكر الدم الصيامي؟,1,3
هل فحص الأنسولين طبيعي؟,1,1
ما مستوى الثيروكسين؟,1,0
كم TSH؟,1,0
ما free T4؟,1,0
ما النتائج الأولية؟,1,1
ما آخر فحص كامل؟,1,1
هل يوجد فقر دم؟,1,0
ما نوع الدم؟,1,0
ما نتيجة تحليل البول؟,1,0
هل يوجد بيلة بروتينية؟,1,0
ما كثافة البول؟,1,0
كم حجم البول؟,1,0
ما الرقم الهيدروجيني؟,1,0
هل نتائج فحوصات الضغط طبيعية؟,2,2
مقارنة النتائج الحالية بالسابقة؟,2,3
هل هناك تحسن في نسبة السكر؟,2,3
مستوى الكوليسترول ضمن المعدل الطبيعي؟,2,0
هل الفيتامينات تتحسن؟,2,0
هل قراءات الضغط مرتفعة؟,2,2
هل نتائج السكر طبيعية؟,2,3
هل يوجد تغير في الوزن؟,2,3
كيف تغيرت النتائج منذ آخر فحص؟,2,1
هل نتائج الغدة الدرقية حسنت؟,2,0
هل HbA1c تحسن؟,2,1
هل LDL انخفض؟,2,0
هل HDL ارتفع؟,2,0
مقارنة HDL بالنتائج السابقة؟,2,0
هل هناك تغير في TSH؟,2,0
هل free T4 طبيعي؟,2,0
هل النتائج مستقرة؟,2,0
هل هناك ترا��ع؟,2,1
مقارنة نتائج CBC؟,2,0
هل الهيموغلوبين تحسن؟,2,0
هل الحديد زاد؟,2,0
هل Feritin تحسن؟,2,0
مقارنة وظائف الكلى؟,2,0
هل اليوريا تحسنت؟,2,0
هل الكرياتينين مستقر؟,2,0
مقارنة إنزيمات الكبد؟,2,0
هل AST طبيعي؟,2,0
هل ALT تحسنت؟,2,0
هل هناك تحسن عام؟,2,4
هل النتائج ضمن النطاق؟,2,1
هل هناك قلق من النتائج؟,2,1
ما اتجاه النتائج؟,2,1
بناءً على نتائج فحوصاتي، ما التغييرات المطلوبة في العلاج؟,3,2
بناءً على قراءات الضغط الأخيرة، هل لدي ارتفاع في ضغط الدم؟,3,2
"Based on my labs, what lifestyle changes do you recommend?",3,1
هل يوجد قلق من ارتفاع LDL في نتائج الفحص الأخيرة؟,3,0
ما المسار المتوقع للحالة بناءً على الاتجاهات؟,3,1
هل يجب تعديل الأدوية بناءً على النتائج؟,3,1
ما توصيات العلاج بناءً على التطورات؟,3,2
كيف يمكنني تحسين قراءات الغلوكوز؟,3,3
هل يجب زيادة الجرعة؟,3,1
ما الخطة العلاجية المناسبة؟,3,2
ما أفضل نظام غذائي بناءً على النتائج؟,3,3
هل الصيام مفيد بناءً على قراءات sugar؟,3,3
ما أنواع التمارين المناسبة؟,3,0
كم ساعة نوم مطلوبة؟,3,1
كيف أتحكم في القلق والتوتر؟,3,1
ما العلاقة بين الضغط والوزن؟,3,3
هل السمنة تؤثر على النتائج؟,3,2
ما العلاقة بين السكر وأمراض القلب؟,3,3
هل يوجد خطر على القلب؟,3,2
ما الفحوصات المطلوبة للكشف المبكر؟,3,0
هل يجب فحص القلب؟,3,2
ما ECG المطلوب؟,3,1
هل فحص الإيكوكارديوغرام ضروري؟,3,1
ما توصيات التغذية؟,3,1
ما الأطعة التي يجب تجنبها؟,3,2
ما الأطعة المفيدة؟,3,1
هل يجب تقليل الملح؟,3,2
هل يجب تقليل السكر؟,3,3
هل يجب تقليل الدهون؟,3,2
ما نسبة البروتين المطلوبة؟,3,0
هل يجب أخذ مكملات؟,3,1
ما أفضل وقت للتمارين؟,3,0
كم مدة التمارين؟,3,0
