query,tier,retrieved,tokens,budget,within_budget
ما هو مستوى السكر في دمي؟,1,1,326,50,0
ما هي نسبة الضغط في قراءاتي الأخيرة؟,1,1,326,50,0
كم وزني في آخر فحص؟,1,1,326,50,0
ما نتائج فحص LDL؟,1,1,326,50,0
هل فحص HbA1c طبيعي؟,1,1,326,50,0
هل نتائج فحوصات الضغط طبيعية؟,2,0,0,200,1
مقارنة النتائج الحالية بالسابقة؟,2,0,0,200,1
هل هناك تحسن في نسبة السكر؟,2,0,0,200,1
مستوى الكوليسترول ضمن المعدل الطبيعي؟,2,0,0,200,1
هل الفيتامينات تتحسن؟,2,0,0,200,1
بناءً على نتائج فحوصاتي، ما التغييرات المطلوبة في العلاج؟,3,1,707,20000,1
بناءً على قراءات الضغط الأخيرة، هل لدي ارتفاع في ضغط الدم؟,3,1,707,20000,1
"Based on my labs, what lifestyle changes do you recommend?",3,1,707,20000,1
هل يوجد قلق من ارتفاع LDL في نتائج الفحص الأخيرة؟,3,1,707,20000,1
ما المسار المتوقع للحالة بناءً على الاتجاهات؟,3,1,707,20000,1
