query,expected_tier,tier_used,status,grounding_score,confidence,latency_seconds
ما هو مستوى السكر في دمي؟,1,2,t2_success,0.85,0.85,0.663
ما هي نسبة الضغط في قراءاتي الأخيرة؟,1,2,t2_success,0.85,0.85,0.229
كم وزني في آخر فحص؟,1,2,t2_success,0.85,0.85,0.23
ما نتائج فحص LDL؟,1,2,t2_success,0.85,0.85,16.355
هل فحص HbA1c طبيعي؟,1,2,t2_success,0.85,0.85,8.392
ما آخر قراءة للضغط؟,1,2,t2_success,0.85,0.85,9.382
كم مستوى الكوليسترول؟,1,2,t2_success,0.85,0.85,9.387
ما نتائج فحص الغدة الدرقية؟,1,2,t2_success,0.85,0.85,8.46
هل فحص CBC طبيعي؟,1,2,t2_success,0.85,0.85,7.391
ما مستوى فيتامين د؟,1,2,t2_success,0.85,0.85,8.362
ما نسبة الهيموغلوبين؟,1,2,t2_success,0.85,0.85,9.384
كم عدد كريات الدم البيضاء؟,1,2,t2_success,0.85,0.85,8.354
ما نتائج فحص وظائف الكلى؟,1,2,t2_success,0.85,0.85,8.375
ما مستوى اليوريا؟,1,2,t2_success,0.85,0.85,7.39
ما نسبة الكرياتينين؟,1,2,t2_success,0.85,0.85,9.455
ما نتائج فحص الكبد؟,1,2,t2_success,0.85,0.85,7.5
ما إنزيمات الكبد؟,1,2,t2_success,0.85,0.85,9.4
ما مستوى الحديد؟,1,2,t2_success,0.85,0.85,8.369
هل فحص FERITIN طبيعي؟,1,2,t2_success,0.85,0.85,8.359
ما قيمة الفولات؟,1,2,t2_success,0.85,0.85,9.473
كم سكر الدم العشوائي؟,1,2,t2_success,0.85,0.85,9.378
ما سكر الدم الصيامي؟,1,2,t2_success,0.85,0.85,9.369
هل فحص الأنسولين طبيعي؟,1,2,t2_success,0.85,0.85,8.403
ما مستوى الثيروكسين؟,1,2,t2_success,0.85,0.85,9.549
كم TSH؟,1,2,t2_success,0.85,0.85,9.451
ما free T4؟,1,2,t2_success,0.85,0.85,7.383
ما النتائج الأولية؟,1,2,t2_success,0.85,0.85,8.497
ما آخر فحص كامل؟,1,2,t2_success,0.85,0.85,8.481
هل يوجد فقر دم؟,1,2,t2_success,0.85,0.85,8.384
ما نوع الدم؟,1,2,t2_success,0.85,0.85,8.36
ما نتيجة تحليل البول؟,1,3,t3_success,0.3,0.8,19.362
هل يوجد بيلة بروتينية؟,1,2,t2_success,0.85,0.85,9.562
ما كثافة البول؟,1,2,t2_success,0.85,0.85,9.387
كم حجم البول؟,1,2,t2_success,0.85,0.85,9.524
ما الرقم الهيدروجيني؟,1,2,t2_success,0.85,0.85,8.443
هل نتائج فحوصات الضغط طبيعية؟,2,2,t2_success,0.85,0.85,9.595
مقارنة النتائج الحالية بالسابقة؟,2,2,t2_success,0.85,0.85,8.45
هل هناك تحسن في نسبة السكر؟,2,2,t2_success,0.85,0.85,9.486
مستوى الكوليسترول ضمن المعدل الطبيعي؟,2,2,t2_success,0.85,0.85,8.601
هل الفيتامينات تتحسن؟,2,2,t2_success,0.85,0.85,9.645
هل قراءات الضغط مرتفعة؟,2,2,t2_success,0.85,0.85,7.514
هل نتائج السكر طبيعية؟,2,2,t2_success,0.85,0.85,7.41
هل يوجد تغير في الوزن؟,2,2,t2_success,0.85,0.85,9.404
كيف تغيرت النتائج منذ آخر فحص؟,2,2,t2_success,0.85,0.85,8.373
هل نتائج الغدة الدرقية حسنت؟,2,2,t2_success,0.85,0.85,8.975
هل HbA1c تحسن؟,2,2,t2_success,0.85,0.85,7.412
هل LDL انخفض؟,2,2,t2_success,0.85,0.85,9.373
هل HDL ارتفع؟,2,2,t2_success,0.85,0.85,8.432
مقارنة HDL بالنتائج السابقة؟,2,2,t2_success,0.85,0.85,7.385
هل هناك تغير في TSH؟,2,2,t2_success,0.85,0.85,8.363
هل free T4 طبيعي؟,2,2,t2_success,0.85,0.85,9.387
هل النتائج مستقرة؟,2,2,t2_success,0.85,0.85,8.371
هل هناك ترا��ع؟,2,2,t2_success,0.85,0.85,8.38
مقارنة نتائج CBC؟,2,2,t2_success,0.85,0.85,9.39
هل الهيموغلوبين تحسن؟,2,2,t2_success,0.85,0.85,9.44
هل الحديد زاد؟,2,2,t2_success,0.85,0.85,7.389
هل Feritin تحسن؟,2,2,t2_success,0.85,0.85,9.353
مقارنة وظائف الكلى؟,2,2,t2_success,0.85,0.85,8.825
هل اليوريا تحسنت؟,2,2,t2_success,0.85,0.85,7.397
هل الكرياتينين مستقر؟,2,2,t2_success,0.85,0.85,9.467
مقارنة إنزيمات الكبد؟,2,2,t2_success,0.85,0.85,9.365
هل AST طبيعي؟,2,2,t2_success,0.85,0.85,7.436
هل ALT تحسنت؟,2,2,t2_success,0.85,0.85,8.407
هل هناك تحسن عام؟,2,2,t2_success,0.85,0.85,8.377
هل النتائج ضمن النطاق؟,2,2,t2_success,0.85,0.85,8.4
هل هناك قلق من النتائج؟,2,2,t2_success,0.85,0.85,8.434
ما اتجاه النتائج؟,2,2,t2_success,0.85,0.85,9.461
بناءً على نتائج فحوصاتي، ما التغييرات المطلوبة في العلاج؟,3,2,t2_success,0.85,0.85,8.626
بناءً على قراءات الضغط الأخيرة، هل لدي ارتفاع في ضغط الدم؟,3,2,t2_success,0.85,0.85,9.392
"Based on my labs, what lifestyle changes do you recommend?",3,2,t2_success,0.85,0.85,9.576
هل يوجد قلق من ارتفاع LDL في نتائج الفحص الأخيرة؟,3,2,t2_success,0.85,0.85,9.406
ما المسار المتوقع للحالة بناءً على الاتجاهات؟,3,2,t2_success,0.85,0.85,8.446
هل يجب تعديل الأدوية بناءً على النتائج؟,3,2,t2_success,0.85,0.85,9.488
ما توصيات العلاج بناءً على التطورات؟,3,2,t2_success,0.85,0.85,9.596
كيف يمكنني تحسين قراءات الغلوكوز؟,3,2,t2_success,0.85,0.85,9.805
هل يجب زيادة الجرعة؟,3,2,t2_success,0.85,0.85,10.425
ما الخطة العلاجية المناسبة؟,3,3,t3_success,0.9,0.9,21.101
ما أفضل نظام غذائي بناءً على النتائج؟,3,2,t2_success,0.85,0.85,9.583
هل الصيام مفيد بناءً على قراءات sugar؟,3,2,t2_success,0.85,0.85,9.509
ما أنواع التمارين المناسبة؟,3,2,t2_success,0.85,0.85,9.421
